1,2,3,4,5,6,7,8,9
photo/film,,,,,,,,
rolls/buns,soda,snack products,newspapers,,,,,
canned beer,,,,,,,,
canned beer,,,,,,,,
other vegetables,curd,frozen meals,frozen potato products,soda,bottled beer,kitchen towels,candles,
canned beer,,,,,,,,
curd,whipped/sour cream,rolls/buns,zwieback,spices,,,,
butter,fruit/vegetable juice,newspapers,,,,,,
other vegetables,whole milk,yogurt,domestic eggs,bottled water,soda,,,
whole milk,,,,,,,,
beef,tropical fruit,herbs,whole milk,curd,yogurt,whipped/sour cream,sliced cheese,
sausage,rolls/buns,,,,,,,
soda,,,,,,,,
fruit/vegetable juice,long life bakery product,,,,,,,
rolls/buns,coffee,long life bakery product,detergent,shopping bags,,,,
pip fruit,whole milk,bottled water,candy,,,,,
frozen vegetables,bottled beer,liquor (appetizer),chewing gum,napkins,newspapers,,,
beverages,,,,,,,,
hamburger meat,root vegetables,other vegetables,domestic eggs,roll products ,oil,margarine,hygiene articles,
root vegetables,other vegetables,whole milk,yogurt,fruit/vegetable juice,white wine,,,
canned beer,,,,,,,,
frozen vegetables,bottled beer,,,,,,,
canned beer,,,,,,,,
newspapers,,,,,,,,
rolls/buns,,,,,,,,
hamburger meat,UHT-milk,salty snack,,,,,,
pip fruit,whole milk,curd,rum,,,,,
canned beer,,,,,,,,
grapes,root vegetables,frozen vegetables,domestic eggs,white wine,,,,
root vegetables,packaged fruit/vegetables,butter,whipped/sour cream,rolls/buns,,,,
citrus fruit,frozen vegetables,rolls/buns,canned beer,salty snack,,,,
cling film/bags,pot plants,,,,,,,
frankfurter,whole milk,rolls/buns,margarine,baking powder,bottled beer,,,
whole milk,red/blush wine,,,,,,,
pork,tropical fruit,whole milk,curd,yogurt,hard cheese,frozen meals,frozen dessert,domestic eggs
chicken,pastry,,,,,,,
sausage,dish cleaner,dishes,,,,,,
specialty bar,,,,,,,,
whipped/sour cream,pastry,specialty bar,,,,,,
root vegetables,brown bread,,,,,,,
rolls/buns,soda,,,,,,,
other vegetables,bottled beer,red/blush wine,,,,,,
citrus fruit,tropical fruit,berries,root vegetables,other vegetables,whole milk,butter,bottled water,rubbing alcohol
whole milk,processed cheese,brown bread,pastry,soda,,,,
frankfurter,sausage,tropical fruit,root vegetables,whole milk,yogurt,rolls/buns,pastry,candy
coffee,long life bakery product,,,,,,,
ham,rolls/buns,white wine,,,,,,
canned beer,,,,,,,,
canned beer,,,,,,,,
canned beer,,,,,,,,
pip fruit,whole milk,canned fish,,,,,,
pork,pip fruit,other vegetables,whole milk,curd,white bread,sugar,bottled water,soda
soap,,,,,,,,
pip fruit,butter,frozen meals,pasta,bottled water,,,,
beef,hamburger meat,citrus fruit,whole milk,mustard,soap,,,
sausage,meat,other vegetables,whole milk,yogurt,rolls/buns,soda,bottled beer,chocolate
frozen chicken,,,,,,,,
soda,,,,,,,,
tropical fruit,curd,yogurt,rolls/buns,brown bread,bottled water,bottled beer,seasonal products,
other vegetables,,,,,,,,
beef,citrus fruit,curd,rolls/buns,oil,margarine,specialty bar,detergent,newspapers
meat,pork,beef,citrus fruit,root vegetables,other vegetables,whole milk,pickled vegetables,
meat,hamburger meat,root vegetables,packaged fruit/vegetables,whole milk,butter,newspapers,,
bottled water,soda,red/blush wine,long life bakery product,newspapers,,,,
rolls/buns,,,,,,,,
pastry,canned beer,,,,,,,
pork,whole milk,pastry,sauces,,,,,
pip fruit,sliced cheese,pastry,white wine,light bulbs,newspapers,,,
beef,citrus fruit,tropical fruit,yogurt,UHT-milk,frozen vegetables,rolls/buns,bottled water,skin care
beef,citrus fruit,berries,brown bread,sugar,coffee,kitchen towels,,
rolls/buns,spices,,,,,,,
citrus fruit,tropical fruit,herbs,whole milk,butter,curd,whipped/sour cream,frozen vegetables,canned vegetables
meat,beef,herbs,whole milk,frozen dessert,rolls/buns,semi-finished bread,flour,oil
beverages,pastry,bottled water,,,,,,
beef,citrus fruit,other vegetables,rolls/buns,,,,,
ham,whole milk,white bread,margarine,hair spray,,,,
hamburger meat,whole milk,oil,ketchup,soups,Instant food products,canned fish,coffee,bottled beer
beef,citrus fruit,other vegetables,butter milk,sliced cheese,processed cheese,rolls/buns,margarine,bottled water
beef,citrus fruit,whole milk,domestic eggs,rolls/buns,pastry,roll products ,tea,fruit/vegetable juice
root vegetables,whole milk,detergent,,,,,,
citrus fruit,tropical fruit,grapes,other vegetables,frozen vegetables,pickled vegetables,fruit/vegetable juice,liquor,rum
yogurt,bottled water,,,,,,,
tropical fruit,root vegetables,other vegetables,whipped/sour cream,brown bread,canned fish,long life bakery product,,
frankfurter,root vegetables,newspapers,,,,,,
beef,other vegetables,whole milk,brown bread,pastry,salty snack,abrasive cleaner,shopping bags,
shopping bags,,,,,,,,
canned beer,,,,,,,,
rolls/buns,canned beer,,,,,,,
other vegetables,rolls/buns,meat spreads,bottled water,soda,misc. beverages,waffles,chocolate,candy
hamburger meat,other vegetables,yogurt,rolls/buns,bottled water,,,,
hamburger meat,citrus fruit,root vegetables,rolls/buns,Instant food products,canned fish,bottled water,soda,fruit/vegetable juice
frankfurter,sausage,domestic eggs,soda,chewing gum,shopping bags,,,
bottled beer,,,,,,,,
tropical fruit,domestic eggs,rolls/buns,pastry,,,,,
soda,,,,,,,,
frankfurter,root vegetables,onions,other vegetables,white bread,canned beer,,,
chicken,hamburger meat,herbs,whipped/sour cream,soups,soda,canned beer,dish cleaner,napkins
coffee,soda,,,,,,,
whole milk,,,,,,,,
margarine,,,,,,,,
tropical fruit,other vegetables,,,,,,,
meat,other vegetables,,,,,,,
cream cheese ,bottled water,canned beer,,,,,,
newspapers,,,,,,,,
rolls/buns,pastry,newspapers,,,,,,
citrus fruit,other vegetables,whole milk,curd,yogurt,potato products,fruit/vegetable juice,long life bakery product,
whole milk,rolls/buns,detergent,,,,,,
frankfurter,citrus fruit,butter milk,UHT-milk,rolls/buns,female sanitary products,shopping bags,,
ham,other vegetables,butter,whipped/sour cream,sugar,soda,,,
frankfurter,citrus fruit,bottled beer,salty snack,,,,,
sausage,onions,curd,yogurt,domestic eggs,coffee,,,
domestic eggs,,,,,,,,
whole milk,domestic eggs,rolls/buns,soda,,,,,
rolls/buns,bottled beer,newspapers,,,,,,
whole milk,hard cheese,chocolate marshmallow,,,,,,
sausage,root vegetables,other vegetables,rolls/buns,soda,,,,
curd,butter milk,yogurt,beverages,,,,,
bottled water,,,,,,,,
beef,,,,,,,,
frankfurter,hamburger meat,whole milk,rolls/buns,potato products,mustard,coffee,waffles,chocolate marshmallow
chicken,butter,newspapers,,,,,,
sausage,meat,tropical fruit,pip fruit,pastry,sugar,coffee,candles,pot plants
pork,whole milk,whipped/sour cream,beverages,,,,,
yogurt,pastry,coffee,,,,,,
whole milk,sliced cheese,margarine,cat food,detergent,dishes,shopping bags,,
frankfurter,ham,whole milk,yogurt,rolls/buns,pastry,vinegar,sugar,soda
beef,whole milk,brown bread,specialty chocolate,newspapers,,,,
pip fruit,other vegetables,butter milk,cream cheese ,rolls/buns,,,,
sausage,whole milk,rolls/buns,coffee,chocolate,,,,
pastry,coffee,,,,,,,
chicken,beef,specialty chocolate,,,,,,
root vegetables,other vegetables,whole milk,sliced cheese,frozen vegetables,frozen fish,frozen dessert,chocolate,
whole milk,frozen meals,rolls/buns,,,,,,
detergent,,,,,,,,
rolls/buns,canned fish,,,,,,,
house keeping products,,,,,,,,
yogurt,salt,jam,sparkling wine,cleaner,,,,
tropical fruit,curd,sliced cheese,rolls/buns,soda,,,,
tropical fruit,,,,,,,,
curd,UHT-milk,artif. sweetener,dental care,,,,,
beef,berries,onions,rolls/buns,,,,,
whole milk,brown bread,pasta,margarine,bottled water,napkins,newspapers,,
pork,UHT-milk,bottled water,soda,canned beer,,,,
other vegetables,curd,yogurt,curd cheese,margarine,cleaner,hygiene articles,,
rolls/buns,soda,fruit/vegetable juice,canned beer,white wine,long life bakery product,shopping bags,,
frankfurter,pip fruit,whole milk,rolls/buns,roll products ,,,,
yogurt,hygiene articles,newspapers,shopping bags,,,,,
whole milk,curd,sliced cheese,cat food,coffee,,,,
bottled water,candy,,,,,,,
frankfurter,beef,butter,,,,,,
rolls/buns,soda,snack products,shopping bags,,,,,
whole milk,pastry,bottled water,hygiene articles,,,,,
rolls/buns,,,,,,,,
chicken,onions,other vegetables,whole milk,brown bread,white wine,red/blush wine,,
tropical fruit,onions,whole milk,butter,dishes,,,,
sausage,turkey,other vegetables,yogurt,brown bread,oil,hygiene articles,shopping bags,
sausage,other vegetables,whole milk,curd,hard cheese,soda,candy,newspapers,
frankfurter,citrus fruit,pastry,margarine,ready soups,instant coffee,shopping bags,,
UHT-milk,frozen dessert,fruit/vegetable juice,decalcifier,newspapers,,,,
rolls/buns,newspapers,,,,,,,
canned beer,,,,,,,,
yogurt,specialty bar,,,,,,,
whipped/sour cream,specialty bar,,,,,,,
rolls/buns,canned beer,,,,,,,
rolls/buns,,,,,,,,
beverages,rolls/buns,,,,,,,
rolls/buns,,,,,,,,
rolls/buns,shopping bags,,,,,,,
bottled beer,,,,,,,,
citrus fruit,curd,yogurt,sliced cheese,rolls/buns,oil,bottled water,,
bottled water,soda,,,,,,,
pastry,,,,,,,,
domestic eggs,rolls/buns,pastry,coffee,candles,,,,
beef,pip fruit,root vegetables,rolls/buns,margarine,,,,
spread cheese,rolls/buns,bottled water,newspapers,,,,,
tropical fruit,spread cheese,rolls/buns,soda,,,,,
packaged fruit/vegetables,canned beer,candles,,,,,,
whole milk,yogurt,bottled beer,white wine,salty snack,napkins,,,
meat,beef,other vegetables,whole milk,butter,domestic eggs,rolls/buns,,
onions,whole milk,bottled beer,liquor (appetizer),detergent,dishes,,,
frankfurter,grapes,other vegetables,butter milk,UHT-milk,brown bread,margarine,organic products,bottled water
beef,rolls/buns,bottled beer,,,,,,
beef,,,,,,,,
sausage,bottled beer,liquor (appetizer),,,,,,
chicken,onions,herbs,hygiene articles,,,,,
canned beer,,,,,,,,
sausage,root vegetables,other vegetables,whole milk,bottled beer,seasonal products,,,
tropical fruit,whole milk,curd,yogurt,whipped/sour cream,,,,
frankfurter,rolls/buns,soda,abrasive cleaner,newspapers,flower (seeds),,,
sausage,tropical fruit,semi-finished bread,,,,,,
beef,tropical fruit,root vegetables,yogurt,,,,,
tropical fruit,pastry,flour,rum,,,,,
yogurt,,,,,,,,
frankfurter,rolls/buns,mustard,,,,,,
bottled beer,,,,,,,,
grapes,soda,,,,,,,
beverages,rolls/buns,,,,,,,
curd,bottled beer,pot plants,,,,,,
ice cream,sugar,flower (seeds),,,,,,
sausage,rolls/buns,soda,canned beer,shopping bags,,,,
other vegetables,,,,,,,,
dessert,beverages,bottled water,,,,,,
decalcifier,,,,,,,,
canned beer,,,,,,,,
coffee,,,,,,,,
berries,other vegetables,whole milk,whipped/sour cream,,,,,
pork,tropical fruit,rolls/buns,semi-finished bread,bottled beer,newspapers,,,
frankfurter,chicken,pork,citrus fruit,other vegetables,whole milk,butter milk,whipped/sour cream,cream cheese 
pork,beef,whole milk,domestic eggs,bottled water,bottled beer,hygiene articles,,
frankfurter,pork,citrus fruit,root vegetables,onions,other vegetables,packaged fruit/vegetables,cat food,bottled water
frozen dessert,brandy,,,,,,,
chicken,other vegetables,packaged fruit/vegetables,condensed milk,frozen vegetables,fruit/vegetable juice,,,
vinegar,oil,,,,,,,
rolls/buns,soda,specialty bar,,,,,,
whole milk,,,,,,,,
pork,root vegetables,whole milk,whipped/sour cream,,,,,
rolls/buns,newspapers,,,,,,,
grapes,other vegetables,zwieback,Instant food products,dishes,,,,
frankfurter,citrus fruit,whipped/sour cream,cream cheese ,rolls/buns,baking powder,seasonal products,napkins,
finished products,root vegetables,packaged fruit/vegetables,yogurt,specialty cheese,frozen vegetables,ice cream,soda,bottled beer
onions,other vegetables,flour,,,,,,
tropical fruit,whole milk,rolls/buns,,,,,,
other vegetables,cream cheese ,tea,chocolate,chocolate marshmallow,,,,
ham,turkey,beef,other vegetables,whole milk,pot plants,,,
other vegetables,whole milk,margarine,bottled beer,,,,,
curd,,,,,,,,
sausage,beef,other vegetables,,,,,,
canned beer,liquor (appetizer),chewing gum,,,,,,
ham,chicken,citrus fruit,berries,onions,whole milk,curd,yogurt,frozen vegetables
packaged fruit/vegetables,whole milk,dessert,yogurt,UHT-milk,margarine,bottled water,long life bakery product,
meat,rolls/buns,soda,specialty bar,,,,,
whole milk,dessert,,,,,,,
canned beer,,,,,,,,
chicken,UHT-milk,rolls/buns,coffee,long life bakery product,house keeping products,,,
rolls/buns,red/blush wine,newspapers,,,,,,
pet care,bottled water,,,,,,,
root vegetables,other vegetables,soda,shopping bags,,,,,
pastry,,,,,,,,
frankfurter,hamburger meat,whole milk,domestic eggs,rolls/buns,brown bread,margarine,bottled water,flower (seeds)
chicken,grapes,whole milk,whipped/sour cream,mayonnaise,,,,
frozen dessert,semi-finished bread,,,,,,,
citrus fruit,tropical fruit,grapes,yogurt,rolls/buns,margarine,canned fruit,bottled water,soda
sausage,pork,beef,berries,root vegetables,whole milk,butter,rolls/buns,cat food
root vegetables,onions,other vegetables,packaged fruit/vegetables,whole milk,whipped/sour cream,frozen vegetables,rolls/buns,pasta
root vegetables,whole milk,yogurt,rolls/buns,,,,,
bottled beer,,,,,,,,
frankfurter,canned beer,,,,,,,
root vegetables,whole milk,butter,coffee,,,,,
berries,other vegetables,whipped/sour cream,UHT-milk,bottled water,soda,hygiene articles,newspapers,
hamburger meat,,,,,,,,
tropical fruit,whole milk,rolls/buns,semi-finished bread,margarine,fruit/vegetable juice,long life bakery product,newspapers,
frankfurter,pork,beverages,frozen meals,waffles,,,,
frankfurter,sausage,frozen fish,margarine,specialty bar,,,,
soda,newspapers,,,,,,,
ice cream,,,,,,,,
beef,whole milk,frozen vegetables,brown bread,pastry,coffee,,,
whole milk,pastry,bottled water,newspapers,photo/film,,,,
pork,fish,whole milk,butter,curd,yogurt,whipped/sour cream,flour,sugar
whole milk,chewing gum,,,,,,,
bottled beer,,,,,,,,
pork,grapes,UHT-milk,brown bread,margarine,,,,
root vegetables,pot plants,,,,,,,
canned beer,,,,,,,,
citrus fruit,root vegetables,whole milk,butter,whipped/sour cream,oil,mustard,bottled water,bottled beer
pip fruit,herbs,other vegetables,whole milk,coffee,female sanitary products,hygiene articles,shopping bags,
root vegetables,dessert,yogurt,cream cheese ,rice,,,,
tropical fruit,curd,rolls/buns,organic products,newspapers,,,,
beef,root vegetables,other vegetables,whole milk,butter,soft cheese,hard cheese,domestic eggs,pasta
chicken,pork,whole milk,butter,white bread,,,,
citrus fruit,grapes,whole milk,rolls/buns,pastry,oil,margarine,candles,newspapers
meat,beef,tropical fruit,pip fruit,other vegetables,whipped/sour cream,soft cheese,frozen meals,margarine
cream cheese ,spread cheese,rolls/buns,,,,,,
citrus fruit,herbs,whole milk,bottled water,bottled beer,pot plants,,,
specialty bar,,,,,,,,
meat,other vegetables,whole milk,beverages,rolls/buns,margarine,chocolate,napkins,newspapers
citrus fruit,tropical fruit,pip fruit,,,,,,
frankfurter,beef,tropical fruit,root vegetables,packaged fruit/vegetables,whole milk,frozen vegetables,,
citrus fruit,whole milk,,,,,,,
turkey,root vegetables,other vegetables,curd,bottled beer,specialty chocolate,,,
citrus fruit,onions,whole milk,curd,yogurt,rolls/buns,pasta,mustard,dog food
sausage,domestic eggs,,,,,,,
newspapers,,,,,,,,
whole milk,yogurt,,,,,,,
yogurt,,,,,,,,
yogurt,,,,,,,,
bottled water,,,,,,,,
berries,whole milk,whipped/sour cream,domestic eggs,,,,,
packaged fruit/vegetables,whole milk,rolls/buns,pastry,,,,,
frankfurter,soda,,,,,,,
nuts/prunes,whole milk,semi-finished bread,jam,soda,pot plants,shopping bags,,
citrus fruit,other vegetables,packaged fruit/vegetables,whole milk,butter,whipped/sour cream,flour,sugar,coffee
beef,citrus fruit,root vegetables,onions,curd,hard cheese,rolls/buns,fruit/vegetable juice,
whole milk,yogurt,frozen vegetables,coffee,canned beer,napkins,,,
other vegetables,whipped/sour cream,,,,,,,
beef,other vegetables,,,,,,,
fish,berries,other vegetables,whole milk,dessert,yogurt,spread cheese,coffee,white wine
other vegetables,whole milk,curd,frozen vegetables,domestic eggs,sugar,instant coffee,newspapers,
tropical fruit,berries,root vegetables,whole milk,butter,yogurt,whipped/sour cream,sliced cheese,hard cheese
coffee,,,,,,,,
sausage,pork,other vegetables,frozen fish,rolls/buns,semi-finished bread,artif. sweetener,ready soups,bottled water
meat,root vegetables,whipped/sour cream,beverages,cream cheese ,waffles,dishes,,
chicken,tropical fruit,pip fruit,root vegetables,other vegetables,packaged fruit/vegetables,butter,rolls/buns,margarine
berries,whole milk,whipped/sour cream,margarine,organic products,fruit/vegetable juice,shopping bags,,
frozen meals,misc. beverages,,,,,,,
whipped/sour cream,,,,,,,,
beef,root vegetables,bottled beer,chocolate,shopping bags,,,,
chicken,pork,other vegetables,whole milk,whipped/sour cream,UHT-milk,domestic eggs,rolls/buns,bottled water
chicken,pork,hamburger meat,pip fruit,nuts/prunes,root vegetables,other vegetables,whole milk,spread cheese
beef,tropical fruit,root vegetables,herbs,other vegetables,whole milk,yogurt,hard cheese,rolls/buns
packaged fruit/vegetables,pickled vegetables,,,,,,,
sugar,,,,,,,,
frankfurter,sausage,beef,root vegetables,packaged fruit/vegetables,whole milk,dessert,yogurt,sliced cheese
berries,frozen vegetables,pet care,instant coffee,,,,,
bottled water,soda,chewing gum,napkins,,,,,
sausage,chicken,citrus fruit,berries,root vegetables,curd,beverages,abrasive cleaner,
whole milk,UHT-milk,domestic eggs,soda,fruit/vegetable juice,dishes,newspapers,,
ice cream,rolls/buns,,,,,,,
frankfurter,citrus fruit,tropical fruit,rolls/buns,,,,,
root vegetables,whole milk,white bread,brown bread,sweet spreads,dog food,brandy,shopping bags,
sausage,rolls/buns,specialty chocolate,,,,,,
sausage,ham,citrus fruit,tropical fruit,berries,packaged fruit/vegetables,whole milk,whipped/sour cream,sliced cheese
beef,root vegetables,whole milk,cream cheese ,,,,,
fruit/vegetable juice,,,,,,,,
sugar,hygiene articles,,,,,,,
berries,whipped/sour cream,,,,,,,
yogurt,beverages,coffee,,,,,,
pork,beef,,,,,,,
bottled beer,shopping bags,,,,,,,
curd,butter milk,yogurt,sliced cheese,coffee,,,,
beef,Instant food products,canned beer,,,,,,
pork,berries,whipped/sour cream,beverages,flour,oil,soda,chocolate,newspapers
white bread,,,,,,,,
grapes,whole milk,processed cheese,rolls/buns,white bread,fruit/vegetable juice,,,
potato products,flower (seeds),,,,,,,
root vegetables,onions,yogurt,rolls/buns,coffee,bottled water,dishes,,
chicken,hamburger meat,UHT-milk,soda,canned beer,bathroom cleaner,newspapers,,
chicken,other vegetables,salt,,,,,,
fish,cream cheese ,coffee,,,,,,
canned beer,,,,,,,,
other vegetables,whole milk,frozen meals,rolls/buns,brown bread,napkins,,,
chicken,pork,whole milk,frozen vegetables,brown bread,vinegar,bottled beer,red/blush wine,newspapers
other vegetables,misc. beverages,,,,,,,
tropical fruit,whole milk,,,,,,,
whole milk,cake bar,newspapers,,,,,,
beef,hamburger meat,berries,pastry,hygiene articles,,,,
sausage,grapes,rolls/buns,soda,salty snack,,,,
whole milk,rolls/buns,chocolate,,,,,,
rolls/buns,soda,,,,,,,
citrus fruit,tropical fruit,pip fruit,other vegetables,,,,,
whole milk,sliced cheese,domestic eggs,artif. sweetener,bottled water,soda,shopping bags,,
pastry,soda,bottled beer,,,,,,
tropical fruit,other vegetables,whole milk,yogurt,soft cheese,hard cheese,spread cheese,curd cheese,frozen vegetables
sliced cheese,pastry,newspapers,,,,,,
soda,,,,,,,,
ham,citrus fruit,whole milk,dessert,frozen meals,coffee,popcorn,shopping bags,
salty snack,,,,,,,,
whole milk,curd,cream cheese ,flour,coffee,bottled water,misc. beverages,newspapers,
root vegetables,whipped/sour cream,,,,,,,
soda,canned beer,shopping bags,,,,,,
curd,roll products ,margarine,bottled water,canned beer,white wine,dish cleaner,,
bottled water,soda,fruit/vegetable juice,bottled beer,napkins,,,,
packaged fruit/vegetables,pot plants,,,,,,,
tropical fruit,root vegetables,frozen vegetables,ice cream,bottled water,cling film/bags,,,
ham,beef,grapes,yogurt,whipped/sour cream,domestic eggs,white bread,pastry,bottled water
pork,citrus fruit,UHT-milk,brown bread,soda,bottled beer,canned beer,long life bakery product,
beverages,rolls/buns,soda,misc. beverages,liqueur,cake bar,,,
sausage,rolls/buns,soda,,,,,,
sausage,citrus fruit,whole milk,yogurt,rolls/buns,bottled water,soda,napkins,
root vegetables,whole milk,butter,yogurt,cream cheese ,frozen fish,shopping bags,,
whole milk,cream cheese ,,,,,,,
frankfurter,turkey,root vegetables,other vegetables,yogurt,rolls/buns,pastry,ready soups,
soda,shopping bags,,,,,,,
soda,bottled beer,,,,,,,
frankfurter,popcorn,,,,,,,
berries,whole milk,whipped/sour cream,pickled vegetables,detergent,newspapers,,,
canned beer,,,,,,,,
frankfurter,pork,white bread,canned vegetables,soda,,,,
frankfurter,hamburger meat,whole milk,butter,curd,flour,rice,oil,sugar
berries,root vegetables,whole milk,beverages,sugar,soups,coffee,shopping bags,
frankfurter,rolls/buns,,,,,,,
newspapers,,,,,,,,
frozen fish,newspapers,,,,,,,
tropical fruit,newspapers,,,,,,,
beef,grapes,berries,whole milk,yogurt,rolls/buns,newspapers,pot plants,
rolls/buns,coffee,instant coffee,salty snack,specialty chocolate,,,,
specialty chocolate,pot plants,,,,,,,
sparkling wine,dish cleaner,,,,,,,
citrus fruit,napkins,shopping bags,,,,,,
onions,herbs,bottled beer,,,,,,
whole milk,pastry,detergent,candles,,,,,
photo/film,,,,,,,,
hamburger meat,,,,,,,,
other vegetables,whole milk,white bread,chewing gum,,,,,
whole milk,rolls/buns,shopping bags,,,,,,
pork,tropical fruit,grapes,hard cheese,soda,napkins,shopping bags,,
tropical fruit,grapes,berries,other vegetables,whole milk,butter,dessert,yogurt,whipped/sour cream
chicken,pork,citrus fruit,other vegetables,whipped/sour cream,white bread,chewing gum,pot plants,
other vegetables,chewing gum,,,,,,,
sausage,bottled water,red/blush wine,,,,,,
whole milk,whipped/sour cream,baking powder,,,,,,
rolls/buns,coffee,,,,,,,
hygiene articles,,,,,,,,
ice cream,newspapers,,,,,,,
curd,whipped/sour cream,domestic eggs,flour,misc. beverages,newspapers,,,
whole milk,frozen meals,newspapers,,,,,,
onions,whole milk,dessert,domestic eggs,rolls/buns,white bread,coffee,bottled water,
finished products,organic sausage,sliced cheese,white bread,fruit/vegetable juice,,,,
salt,dog food,long life bakery product,,,,,,
tropical fruit,root vegetables,other vegetables,domestic eggs,white bread,brown bread,canned vegetables,soda,fruit/vegetable juice
other vegetables,whole milk,yogurt,,,,,,
chocolate,,,,,,,,
ice cream,,,,,,,,
tropical fruit,oil,cat food,,,,,,
frankfurter,citrus fruit,whole milk,yogurt,sliced cheese,specialty cheese,pastry,fruit/vegetable juice,
butter,pasta,canned fish,softener,flower (seeds),,,,
other vegetables,butter milk,frozen fish,salty snack,,,,,
tropical fruit,pastry,canned beer,chocolate,,,,,
citrus fruit,root vegetables,packaged fruit/vegetables,yogurt,sliced cheese,rolls/buns,white bread,brown bread,zwieback
UHT-milk,salt,soda,specialty chocolate,shopping bags,,,,
beef,,,,,,,,
curd,yogurt,spread cheese,sugar,canned vegetables,,,,
citrus fruit,other vegetables,whole milk,dessert,yogurt,frozen vegetables,fruit/vegetable juice,bottled beer,salty snack
yogurt,brown bread,bottled beer,white wine,,,,,
bottled beer,liquor,red/blush wine,,,,,,
grapes,,,,,,,,
pork,other vegetables,soda,,,,,,
sausage,citrus fruit,berries,other vegetables,whole milk,yogurt,whipped/sour cream,cream cheese ,frozen vegetables
frankfurter,chicken,pork,tropical fruit,root vegetables,other vegetables,yogurt,UHT-milk,mayonnaise
artif. sweetener,soda,photo/film,,,,,,
frankfurter,onions,butter,processed cheese,rolls/buns,coffee,bottled beer,,
pip fruit,root vegetables,dessert,yogurt,domestic eggs,shopping bags,,,
frankfurter,whole milk,coffee,detergent,,,,,
whole milk,newspapers,,,,,,,
domestic eggs,hygiene articles,photo/film,flower soil/fertilizer,,,,,
packaged fruit/vegetables,dessert,mayonnaise,oil,soda,waffles,chocolate,flower (seeds),shopping bags
chicken,other vegetables,whipped/sour cream,frozen vegetables,bottled water,long life bakery product,,,
pork,whole milk,curd,yogurt,whipped/sour cream,cream cheese ,domestic eggs,white bread,sugar
citrus fruit,other vegetables,whole milk,curd,yogurt,whipped/sour cream,cream cheese ,pastry,vinegar
light bulbs,,,,,,,,
cream cheese ,margarine,tea,,,,,,
sausage,curd,frozen meals,domestic eggs,cake bar,seasonal products,detergent,cleaner,house keeping products
citrus fruit,onions,,,,,,,
other vegetables,whipped/sour cream,roll products ,,,,,,
chicken,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,butter,yogurt,whipped/sour cream
ice cream,,,,,,,,
pork,beef,ice cream,rolls/buns,newspapers,,,,
pork,tropical fruit,other vegetables,yogurt,semi-finished bread,flour,margarine,artif. sweetener,organic products
onions,domestic eggs,soda,hygiene articles,,,,,
tropical fruit,pip fruit,grapes,root vegetables,herbs,yogurt,baking powder,seasonal products,pot plants
whipped/sour cream,cream cheese ,bottled water,canned beer,shopping bags,,,,
berries,root vegetables,other vegetables,butter,hard cheese,domestic eggs,rolls/buns,fruit/vegetable juice,sparkling wine
berries,dessert,whipped/sour cream,white bread,coffee,shopping bags,,,
rolls/buns,long life bakery product,,,,,,,
ice cream,long life bakery product,,,,,,,
coffee,fruit/vegetable juice,dishes,,,,,,
whole milk,butter,pasta,misc. beverages,,,,,
whole milk,,,,,,,,
citrus fruit,berries,butter milk,yogurt,,,,,
beef,grapes,nuts/prunes,root vegetables,onions,other vegetables,cream,soft cheese,sliced cheese
pork,citrus fruit,grapes,root vegetables,whole milk,ready soups,pot plants,,
turkey,tropical fruit,pip fruit,root vegetables,other vegetables,curd,butter milk,yogurt,curd cheese
margarine,newspapers,,,,,,,
butter milk,yogurt,,,,,,,
beef,tropical fruit,onions,other vegetables,whole milk,butter,curd,butter milk,yogurt
bottled water,,,,,,,,
pip fruit,whole milk,domestic eggs,bottled water,long life bakery product,,,,
whole milk,rice,,,,,,,
chocolate,,,,,,,,
frankfurter,chicken,butter milk,margarine,long life bakery product,,,,
whole milk,white bread,,,,,,,
sausage,root vegetables,domestic eggs,dish cleaner,,,,,
grapes,zwieback,soda,waffles,,,,,
brown bread,,,,,,,,
root vegetables,other vegetables,cream cheese ,pasta,oil,margarine,salty snack,pot plants,
UHT-milk,bottled water,,,,,,,
onions,,,,,,,,
beef,bottled water,misc. beverages,specialty chocolate,shopping bags,,,,
pork,whole milk,rolls/buns,bottled beer,,,,,
canned beer,specialty chocolate,candy,shopping bags,,,,,
yogurt,margarine,,,,,,,
yogurt,whipped/sour cream,flour,margarine,sugar,baking powder,cat food,soda,fruit/vegetable juice
pip fruit,curd,dessert,yogurt,specialty chocolate,specialty bar,newspapers,shopping bags,
meat,chicken,root vegetables,whole milk,oil,,,,
coffee,misc. beverages,bottled beer,,,,,,
bottled water,,,,,,,,
bottled beer,liquor,,,,,,,
sausage,whole milk,whipped/sour cream,pasta,pet care,fruit/vegetable juice,,,
shopping bags,,,,,,,,
pork,herbs,other vegetables,yogurt,domestic eggs,specialty bar,dishes,,
frankfurter,other vegetables,specialty cheese,chewing gum,,,,,
ice cream,,,,,,,,
root vegetables,other vegetables,spread cheese,margarine,canned beer,,,,
sausage,tropical fruit,grapes,other vegetables,processed cheese,frozen meals,domestic eggs,white bread,salty snack
sausage,citrus fruit,pip fruit,root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,spread cheese
root vegetables,,,,,,,,
canned vegetables,,,,,,,,
tropical fruit,whole milk,white bread,brown bread,misc. beverages,bottled beer,,,
